Purchase ID,SN,Age,Gender,Item ID,Item Name,Price,,,,Count,Percentage,,Total Purchase Sum,,,,0,
91,Chadolyla44,20,Male,59,"Lightning, Etcher of the King",4.23,,,,,,,,,,,,
92,Chadistaya75,21,Female,39,"Betrayal, Whisper of Grieving Widows",3.94,,,,,,,,,,,,
93,Yathedeu43,22,Male,88,"Emberling, Defender of Delusions",3.75,,,,,,,,,,,,
94,Aina43,19,Male,96,Blood-Forged Skeletal Spine,3.09,,,,,,,,,,,,
95,Ilassast39,18,Male,164,Exiled Doomblade,1.63,,,,,,,,,,,,
96,Lisassala98,16,Male,56,Foul Titanium Battle Axe,2.92,,,,,,,,,,,,
97,Aiduecal76,20,Male,134,Undead Crusader,4.5,,,,,,,,,,,,
98,Chadossa89,23,Male,141,Persuasion,3.19,,,,,,,,,,,,
100,Pheodaisun84,30,Male,12,Dawne,1.02,,,,,,,,,,,,
101,Heollyriap59,21,Male,174,Primitive Blade,3.47,,,,,,,,,,,,
102,Maropast28,24,Male,109,"Downfall, Scalpel Of The Emperor",4.76,,,,,,,,,,,,
103,Frichim77,24,Male,7,"Thorn, Satchel of Dark Souls",1.33,,,,,,,,,,,,
104,Thryallym62,24,Male,53,Vengeance Cleaver,2.05,,,,,,,,,,,,
105,Eulanurin88,27,Male,10,Sleepwalker,1.79,,,,,,,,,,,,
106,Lassjaskan73,22,Male,54,Eternal Cleaver,2.5,,,,,,,,,,,,
107,Tyaerith73,36,Male,99,"Expiration, Warscythe Of Lost Worlds",1.71,,,,,,,,,,,,
108,Sondadarya58,19,Male,85,Malificent Bag,1.75,,,,,,,,,,,,
109,Hirirap39,22,Male,33,Curved Axe,1.16,,,,,,,,,,,,
110,Ririp86,25,Male,139,"Mercy, Katana of Dismay",4.94,,,,,,,,,,,,
111,Sundim98,21,Other / Non-Disclosed,41,Orbit,4.75,,,,,,,,,,,,
112,Iskichinya81,21,Female,7,"Thorn, Satchel of Dark Souls",1.33,,,,,,,,,,,,
113,Phyali88,15,Female,140,Striker,2.94,,,,,,,,,,,,
114,Undirrala66,22,Male,150,Deathraze,2.85,,,,,,,,,,,,
115,Nitherian58,28,Male,13,Serenity,1.41,,,,,,,,,,,,
116,Lassilsala30,21,Male,139,"Mercy, Katana of Dismay",4.94,,,,,,,,,,,,
117,Frichaststa61,21,Female,117,"Heartstriker, Legacy of the Light",1.79,,,,,,,,,,,,
119,Frichosia58,15,Female,87,"Deluge, Edge of the West",4.43,,,,,,,,,,,,
121,Ilosia37,23,Male,1,Crucifer,3.26,,,,,,,,,,,,
122,Lisista27,16,Male,174,Primitive Blade,3.47,,,,,,,,,,,,
123,Seudaillorap38,27,Male,81,Dreamkiss,3.61,,,,,,,,,,,,
124,Aesty53,21,Male,150,Deathraze,2.85,,,,,,,,,,,,
125,Yathecal82,20,Female,62,Piece Maker,1.87,,,,,,,,,,,,
127,Lisossanya98,37,Male,102,Avenger,3.44,,,,,,,,,,,,
128,Iral74,21,Male,58,"Freak's Bite, Favor of Holy Might",4.14,,,,,,,,,,,,
129,Lisast87,19,Male,74,Yearning Crusher,4.18,,,,,,,,,,,,
130,Maridisya31,25,Male,120,Agatha,3.08,,,,,,,,,,,,
131,Jiskassa76,22,Male,62,Piece Maker,1.87,,,,,,,,,,,,
135,Ethriel85,30,Male,146,Warped Iron Scimitar,3.1,,,,,,,,,,,,
136,Iskirra45,22,Male,105,Hailstorm Shadowsteel Scythe,3.03,,,,,,,,,,,,
137,Iri67,20,Male,179,"Wolf, Promise of the Moonwalker",4.48,,,,,,,,,,,,
138,Rarallo90,33,Male,136,Ghastly Adamantite Protector,3.58,,,,,,,,,,,,
139,Lisasi93,13,Male,158,"Darkheart, Butcher of the Champion",2.45,,,,,,,,,,,,
142,Adastirin33,35,Female,175,Woeful Adamantite Claymore,4.48,,,,,,,,,,,,
143,Eyista89,34,Male,124,Venom Claymore,1.29,,,,,,,,,,,,
144,Ili43,18,Male,22,Amnesia,2.18,,,,,,,,,,,,
145,Chamirra53,23,Male,46,Hopeless Ebon Dualblade,1.33,,,,,,,,,,,,
147,Hailaphos89,35,Male,24,Warped Fetish,3.81,,,,,,,,,,,,
148,Iskadarya95,20,Male,148,"Warmonger, Gift of Suffering's End",4.03,,,,,,,,,,,,
149,Qilatista90,17,Male,161,Devine,1.76,,,,,,,,,,,,
150,Inasti31,17,Male,0,Splinter,1.28,,,,,,,,,,,,
151,Marilsanya48,25,Male,105,Hailstorm Shadowsteel Scythe,3.03,,,,,,,,,,,,
152,Marjask87,20,Male,110,Suspension,1.44,,,,,,,,,,,,
153,Chanjaskan89,21,Male,164,Exiled Doomblade,1.63,,,,,,,,,,,,
154,Hyaduesu61,20,Male,59,"Lightning, Etcher of the King",4.23,,,,,,,,,,,,
155,Aillyrin83,10,Female,98,"Deadline, Voice Of Subtlety",2.89,,,,,,,,,,,,
157,Marast30,18,Female,108,"Extraction, Quickblade Of Trembling Hands",3.53,,,,,,,,,,,,
158,Sundadar27,31,Male,111,Misery's End,4.89,,,,,,,,,,,,
159,Tyaelorap29,25,Male,39,"Betrayal, Whisper of Grieving Widows",3.94,,,,,,,,,,,,
160,Lirtimst73,24,Male,44,Bonecarvin Battle Axe,2.38,,,,,,,,,,,,
162,Styaduen40,17,Male,181,Reaper's Toll,1.66,,,,,,,,,,,,
163,Sidap51,11,Male,65,Conqueror Adamantite Mace,4.24,,,,,,,,,,,,
164,Chanastst38,22,Male,96,Blood-Forged Skeletal Spine,3.09,,,,,,,,,,,,
165,Lirtassa52,15,Male,183,Dragon's Greatsword,1.09,,,,,,,,,,,,
166,Sondim68,22,Female,30,Stormcaller,2.21,,,,,,,,,,,,
167,Aeral97,23,Male,157,"Spada, Etcher of Hatred",4.8,,,,,,,,,,,,
169,Heosurnuru52,16,Female,123,Twilight's Carver,2.28,,,,,,,,,,,,
170,Lisopela58,22,Male,75,Brutality Ivory Warmace,2.42,,,,,,,,,,,,
171,Caesrinusuir82,30,Male,102,Avenger,3.44,,,,,,,,,,,,
172,Tyirinu79,21,Male,65,Conqueror Adamantite Mace,4.24,,,,,,,,,,,,
173,Fironon91,30,Male,5,Putrid Fan,4.08,,,,,,,,,,,,
174,Lassjask63,30,Male,144,Blood Infused Guardian,1.94,,,,,,,,,,,,
175,Indcil77,17,Male,103,Singed Scalpel,4.35,,,,,,,,,,,,
176,Chamimla73,17,Male,157,"Spada, Etcher of Hatred",4.8,,,,,,,,,,,,
177,Syathe73,30,Female,135,Warped Diamond Crusader,1.4,,,,,,,,,,,,
178,Baelollodeu94,20,Female,57,"Despair, Favor of Due Diligence",4.6,,,,,,,,,,,,
179,Mindista32,24,Male,59,"Lightning, Etcher of the King",4.23,,,,,,,,,,,,
180,Saena74,24,Male,95,Singed Onyx Warscythe,4.74,,,,,,,,,,,,
181,Marirrasta50,16,Male,51,Endbringer,4.66,,,,,,,,,,,,
182,Lamil79,38,Male,154,Feral Katana,4.4,,,,,,,,,,,,
183,Aenarap34,21,Male,15,Soul Infused Crystal,2.96,,,,,,,,,,,,
184,Aisur51,28,Male,32,Orenmir,1.14,,,,,,,,,,,,
185,Thrientossa55,20,Male,150,Deathraze,2.85,,,,,,,,,,,,
186,Chadista79,30,Male,77,"Piety, Guardian of Riddles",4,,,,,,,,,,,,
187,Tyeurith29,8,Male,11,Brimstone,3.65,,,,,,,,,,,,
188,Malunil62,18,Male,88,"Emberling, Defender of Delusions",3.75,,,,,,,,,,,,
189,Hiasri33,23,Male,63,Stormfury Mace,4.99,,,,,,,,,,,,
190,Lisadar44,27,Male,69,"Frenzy, Defender of the Harvest",1.98,,,,,,,,,,,,
191,Frichjask31,23,Male,87,"Deluge, Edge of the West",4.43,,,,,,,,,,,,
192,Lisjaskya84,25,Male,98,"Deadline, Voice Of Subtlety",2.89,,,,,,,,,,,,
193,Ristydru66,27,Male,62,Piece Maker,1.87,,,,,,,,,,,,
194,Frichast28,20,Male,73,Ritual Mace,2.05,,,,,,,,,,,,
195,Minduri31,39,Male,113,Solitude's Reaver,4.07,,,,,,,,,,,,
196,Maradaran90,35,Female,9,"Thorn, Conqueror of the Corrupted",2.73,,,,,,,,,,,,
197,Mindetosya30,24,Male,37,"Shadow Strike, Glory of Ending Hope",3.16,,,,,,,,,,,,
199,Ialallo29,15,Female,138,"Peacekeeper, Wit of Dark Magic",4.74,,,,,,,,,,,,
200,Pheusrical25,23,Male,114,Yearning Mageblade,3.82,,,,,,,,,,,,
201,Chanosia60,31,Male,2,Verdict,2.48,,,,,,,,,,,,
202,Phistym51,37,Male,82,Nirvana,4.9,,,,,,,,,,,,
203,Aelollo59,33,Male,3,Phantomlight,2.49,,,,,,,,,,,,
204,Chamimla85,16,Male,0,Splinter,1.28,,,,,,,,,,,,
206,Haisurra41,20,Female,78,"Glimmer, Ender of the Moon",4.4,,,,,,,,,,,,
207,Sondastsda82,24,Male,145,Fiery Glass Crusader,4.58,,,,,,,,,,,,
208,Qilanrion65,37,Male,105,Hailstorm Shadowsteel Scythe,3.03,,,,,,,,,,,,
209,Eulasuir89,22,Male,162,Abyssal Shard,2.67,,,,,,,,,,,,
211,Eosrirgue62,17,Male,120,Agatha,3.08,,,,,,,,,,,,
212,Shaidanu32,23,Male,159,"Oathbreaker, Spellblade of Trials",3.08,,,,,,,,,,,,
213,Lirtastan49,29,Male,2,Verdict,2.48,,,,,,,,,,,,
214,Iaralsuir44,23,Male,137,"Aetherius, Boon of the Blessed",3.39,,,,,,,,,,,,
216,Tyeudariasuir90,21,Male,136,Ghastly Adamantite Protector,3.58,,,,,,,,,,,,
217,Cosadar58,38,Male,25,Hero Cane,4.35,,,,,,,,,,,,
218,Aelastirin39,23,Male,76,Haunted Bronzed Bludgeon,3.15,,,,,,,,,,,,
219,Aidai53,19,Male,57,"Despair, Favor of Due Diligence",4.6,,,,,,,,,,,,
220,Jiskjask85,40,Male,46,Hopeless Ebon Dualblade,1.33,,,,,,,,,,,,
221,Ealrion88,30,Male,175,Woeful Adamantite Claymore,4.48,,,,,,,,,,,,
222,Chamjask73,22,Female,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23,,,,,,,,,,,,
225,Tyaenasti87,24,Female,154,Feral Katana,4.4,,,,,,,,,,,,
226,Alim85,25,Male,54,Eternal Cleaver,2.5,,,,,,,,,,,,
227,Haeladil46,18,Male,24,Warped Fetish,3.81,,,,,,,,,,,,
228,Jiskirran77,20,Other / Non-Disclosed,80,Dreamsong,3.39,,,,,,,,,,,,
229,Undosia27,17,Male,72,Winter's Bite,3.77,,,,,,,,,,,,
230,Peorith44,24,Male,102,Avenger,3.44,,,,,,,,,,,,
231,Yarithsurgue62,26,Male,139,"Mercy, Katana of Dismay",4.94,,,,,,,,,,,,
233,Taeduenu92,19,Female,66,Victor Iron Spikes,4.4,,,,,,,,,,,,
235,Rairin89,24,Male,163,Thunderfury Scimitar,3.45,,,,,,,,,,,,
236,Aerithriaphos46,16,Male,107,"Splitter, Foe Of Subtlety",2.18,,,,,,,,,,,,
237,Idairin51,20,Other / Non-Disclosed,16,Restored Bauble,3.55,,,,,,,,,,,,
238,Lisista54,21,Male,42,The Decapitator,1.75,,,,,,,,,,,,
239,Eodailis27,30,Male,19,"Pursuit, Cudgel of Necromancy",1.02,,,,,,,,,,,,
240,Lirtastsda29,16,Male,82,Nirvana,4.9,,,,,,,,,,,,
241,Undilsan50,22,Male,10,Sleepwalker,1.79,,,,,,,,,,,,
242,Eodaisu60,16,Other / Non-Disclosed,39,"Betrayal, Whisper of Grieving Widows",3.94,,,,,,,,,,,,
243,Quaranmol58,24,Male,83,Lifebender,3.33,,,,,,,,,,,,
244,Lirtossa60,24,Male,37,"Shadow Strike, Glory of Ending Hope",3.16,,,,,,,,,,,,
246,Lirtilsa71,24,Male,139,"Mercy, Katana of Dismay",4.94,,,,,,,,,,,,
248,Isursuir31,44,Male,137,"Aetherius, Boon of the Blessed",3.39,,,,,,,,,,,,
249,Sundirrala66,20,Male,16,Restored Bauble,3.55,,,,,,,,,,,,
250,Saerallora71,23,Male,87,"Deluge, Edge of the West",4.43,,,,,,,,,,,,
251,Iasur80,22,Male,23,Crucifer,1.99,,,,,,,,,,,,
252,Tyaelo67,39,Male,92,Final Critic,4.88,,,,,,,,,,,,
254,Quanunwen42,23,Female,94,Mourning Blade,3.49,,,,,,,,,,,,
257,Yasur35,26,Male,175,Woeful Adamantite Claymore,4.48,,,,,,,,,,,,
258,Assehoan67,26,Male,149,"Tranquility, Razor of Black Magic",1.75,,,,,,,,,,,,
259,Haellysu29,20,Male,72,Winter's Bite,3.77,,,,,,,,,,,,
260,Saida58,16,Male,70,Hope's End,1.03,,,,,,,,,,,,
262,Chamadar79,15,Male,172,Blade of the Grave,3.14,,,,,,,,,,,,
263,Aeral43,24,Male,78,"Glimmer, Ender of the Moon",4.4,,,,,,,,,,,,
265,Lirtirra37,25,Male,172,Blade of the Grave,3.14,,,,,,,,,,,,
267,Tyidaim51,16,Female,41,Orbit,4.75,,,,,,,,,,,,
269,Lassassast73,15,Male,18,"Torchlight, Bond of Storms",4.65,,,,,,,,,,,,
270,Assassasta79,38,Male,85,Malificent Bag,1.75,,,,,,,,,,,,
271,Heollyra92,22,Male,166,Thirsty Iron Reaver,3.07,,,,,,,,,,,,
272,Anallorgue57,8,Male,133,Faith's Scimitar,4.09,,,,,,,,,,,,
274,Aerithllora36,29,Female,82,Nirvana,4.9,,,,,,,,,,,,
275,Smaistysu35,30,Male,173,Stormfury Longsword,4.93,,,,,,,,,,,,
277,Ennalmol65,24,Male,92,Final Critic,4.88,,,,,,,,,,,,
279,Yarithrgue83,20,Male,163,Thunderfury Scimitar,3.45,,,,,,,,,,,,
280,Yana46,20,Female,16,Restored Bauble,3.55,,,,,,,,,,,,
281,Sondimla25,19,Male,68,"Storm-Weaver, Slayer of Inception",4.32,,,,,,,,,,,,
282,Aidai61,21,Male,155,War-Forged Gold Deflector,1.01,,,,,,,,,,,,
283,Wailin72,21,Female,9,"Thorn, Conqueror of the Corrupted",2.73,,,,,,,,,,,,
284,Firan91,24,Male,128,"Blazeguard, Reach of Eternity",4.91,,,,,,,,,,,,
285,Alaesu91,26,Male,163,Thunderfury Scimitar,3.45,,,,,,,,,,,,
286,Aellynun67,25,Male,153,Mercenary Sabre,3.74,,,,,,,,,,,,
287,Rilaera56,20,Male,5,Putrid Fan,4.08,,,,,,,,,,,,
288,Eulaestira36,18,Male,156,Soul-Forged Steel Shortsword,1.77,,,,,,,,,,,,
289,Marim28,25,Female,83,Lifebender,3.33,,,,,,,,,,,,
290,Idastidru52,24,Male,147,"Hellreaver, Heirloom of Inception",4.93,,,,,,,,,,,,
294,Ilirrasda54,37,Male,171,Scalpel,1.79,,,,,,,,,,,,
295,Alaephos75,23,Male,52,Hatred,4.84,,,,,,,,,,,,
296,Syalollorap93,22,Female,65,Conqueror Adamantite Mace,4.24,,,,,,,,,,,,
298,Minduli80,25,Male,110,Suspension,1.44,,,,,,,,,,,,
300,Chanastya70,22,Male,136,Ghastly Adamantite Protector,3.58,,,,,,,,,,,,
301,Frichadaran88,25,Male,106,Crying Steel Sickle,3.41,,,,,,,,,,,,
302,Siallylis44,20,Male,4,Bloodlord's Fetish,1.7,,,,,,,,,,,,
303,Aeri84,24,Male,71,Demise,1.61,,,,,,,,,,,,
304,Iasursti71,24,Male,181,Reaper's Toll,1.66,,,,,,,,,,,,
306,Mindilsa34,24,Female,38,"The Void, Vengeance of Dark Magic",2.37,,,,,,,,,,,,
307,Chamastya76,34,Male,53,Vengeance Cleaver,2.05,,,,,,,,,,,,
308,Undirra73,34,Male,98,"Deadline, Voice Of Subtlety",2.89,,,,,,,,,,,,
309,Aestysu37,25,Male,170,Shadowsteel,3.97,,,,,,,,,,,,
310,Chadadarla74,30,Male,117,"Heartstriker, Legacy of the Light",1.79,,,,,,,,,,,,
312,Strithenu87,20,Male,147,"Hellreaver, Heirloom of Inception",4.93,,,,,,,,,,,,
313,Iasrira89,23,Male,182,Toothpick,4.03,,,,,,,,,,,,
314,Ialidru40,24,Male,37,"Shadow Strike, Glory of Ending Hope",3.16,,,,,,,,,,,,
316,Tyalaesu89,25,Male,15,Soul Infused Crystal,2.96,,,,,,,,,,,,
317,Tyidainu31,18,Female,3,Phantomlight,2.49,,,,,,,,,,,,
320,Lirtilsa72,24,Male,77,"Piety, Guardian of Riddles",4,,,,,,,,,,,,
321,Undjaskla97,33,Male,118,"Ghost Reaver, Longsword of Magic",2.17,,,,,,,,,,,,
322,Saedaiphos46,18,Male,37,"Shadow Strike, Glory of Ending Hope",3.16,,,,,,,,,,,,
324,Aerithnucal56,15,Male,154,Feral Katana,4.4,,,,,,,,,,,,
326,Lisossa46,25,Male,54,Eternal Cleaver,2.5,,,,,,,,,,,,
327,Layjask75,22,Female,17,"Lazarus, Terror of the Earth",1.7,,,,,,,,,,,,
328,Lisista63,17,Male,152,Darkheart,1.74,,,,,,,,,,,,
329,Ceoral34,20,Male,145,Fiery Glass Crusader,4.58,,,,,,,,,,,,
330,Hilaerin92,23,Male,167,"Malice, Legacy of the Queen",3.61,,,,,,,,,,,,
331,Chadilsasta32,23,Male,7,"Thorn, Satchel of Dark Souls",1.33,,,,,,,,,,,,
332,Undassa89,25,Male,161,Devine,1.76,,,,,,,,,,,,
333,Iduenu77,17,Female,114,Yearning Mageblade,3.82,,,,,,,,,,,,
334,Lisosia66,21,Male,11,Brimstone,3.65,,,,,,,,,,,,
335,Undimsya85,33,Male,67,"Celeste, Incarnation of the Corrupted",3.46,,,,,,,,,,,,
336,Phaedue89,22,Female,45,Glinting Glass Edge,3.85,,,,,,,,,,,,
337,Yadacal26,15,Male,17,"Lazarus, Terror of the Earth",1.7,,,,,,,,,,,,
338,Lisossa25,22,Male,13,Serenity,1.41,,,,,,,,,,,,
339,Ilmol66,8,Female,124,Venom Claymore,1.29,,,,,,,,,,,,
340,Yastyriaphos75,22,Male,41,Orbit,4.75,,,,,,,,,,,,
341,Hiasurria41,41,Male,71,Demise,1.61,,,,,,,,,,,,
342,Palatyon26,21,Male,38,"The Void, Vengeance of Dark Magic",2.37,,,,,,,,,,,,
344,Qilalista41,23,Male,19,"Pursuit, Cudgel of Necromancy",1.02,,,,,,,,,,,,
345,Hada39,19,Male,2,Verdict,2.48,,,,,,,,,,,,
347,Chamilsala65,23,Female,11,Brimstone,3.65,,,,,,,,,,,,
350,Rairith81,15,Other / Non-Disclosed,34,Retribution Axe,2.22,,,,,,,,,,,,
352,Ilarin91,22,Male,79,"Alpha, Oath of Zeal",4.05,,,,,,,,,,,,
353,Ryanara76,25,Male,174,Primitive Blade,3.47,,,,,,,,,,,,
354,Undista85,21,Male,163,Thunderfury Scimitar,3.45,,,,,,,,,,,,
355,Tyeoralru41,15,Male,140,Striker,2.94,,,,,,,,,,,,
356,Pheosrinudeu70,20,Male,138,"Peacekeeper, Wit of Dark Magic",4.74,,,,,,,,,,,,
357,Heuli25,23,Female,37,"Shadow Strike, Glory of Ending Hope",3.16,,,,,,,,,,,,
358,Pheutherin27,24,Male,74,Yearning Crusher,4.18,,,,,,,,,,,,
359,Chadirra90,18,Male,73,Ritual Mace,2.05,,,,,,,,,,,,
360,Ali84,29,Male,14,Possessed Core,2.61,,,,,,,,,,,,
361,Frichjaskan98,25,Male,19,"Pursuit, Cudgel of Necromancy",1.02,,,,,,,,,,,,
362,Malil90,22,Male,107,"Splitter, Foe Of Subtlety",2.18,,,,,,,,,,,,
364,Yarithllodeu72,22,Male,88,"Emberling, Defender of Delusions",3.75,,,,,,,,,,,,
365,Tyaedainu44,25,Male,43,Foul Edge,3.54,,,,,,,,,,,,
